Name,Locations,RelativePopularity,PctDominance,AvgRank,OverallRank
Subway,37540,3546,42.4,1.2352941176470589,1
Jimmy Johns,2755,2649,27.3,1.9215686274509804,2
Firehouse Subs,1200,1029,10.3,3.6666666666666665,3
Quiznos,500,937,9.2,3.8627450980392157,4
Jersey Mikes,1973,659,7.2,4.254901960784314,5
Which Wich,431,161,1.3,6.352941176470588,6
Jason's Deli,300,147,1.2,6.392156862745098,7
Blimpie,156,112,0.8,6.9411764705882355,8
Potbelly Sandwich,474,64,0.3,7.03921568627451,9
Schlotzsky's,330,30,0.1,7.392156862745098,10
